a,b,c,d
2007qe,0.0229,35.13073171,0.175847772
2007r,0.0312,35.8809898,0.166284241
2007s,0.015,34.08635485,0.207266601
2008af,0.0341,35.76043334,0.170422924
2008bf,0.0251,34.93930486,0.17189552
2008l,0.0189,34.37677805,0.203803442
2005kt,0.065,37.32622502,0.120378118
10106,0.147,39.55926981,0.121080634
2005ez,0.13,38.90576474,0.135784293
2005lk,0.104,38.50209986,0.120643871
2005ll,0.244,40.13933756,0.150780306
2005lf,0.3,41.06662435,0.215824547
2005ku,0.045,36.39363628,0.127260196
2005ml,0.114,38.56320283,0.120017551
2005jb,0.258,40.62275682,0.157083139
2005fc,0.297,41.15218791,0.215462355
2005mm,0.382,41.68006844,0.220813702
2005ln,0.147,39.06247772,0.126442356
2005mo,0.274,40.73428626,0.164190866
2005lo,0.299,40.78616715,0.204243299
2005lq,0.38,41.5943818,0.197647142
1166,0.382,41.27988446,0.19942396
2005lp,0.303,41.49580489,0.246333608
2005mq,0.35,41.31867918,0.218357189
2005ff,0.087,37.98495248,0.117239118
2005fd,0.262,40.54030689,0.142760435
2005fe,0.217,40.31066682,0.140960119
2005fh,0.119,38.57410145,0.114480614
2005gj,0.183,39.6049216,0.120171463
1688,0.359,41.33923395,0.202932961
2005fj,0.143,39.28195035,0.120330402
2005fo,0.262,40.82159746,0.149344667
2005fl,0.234,40.21297707,0.15237982
2005fm,0.153,39.18727502,0.114718538
2005fn,0.095,38.18770122,0.118788974
2005fr,0.288,41.05423741,0.134501367
2005fy,0.195,39.96632705,0.127181264
2005ey,0.148,39.30275496,0.112499009
2005fp,0.213,40.56991037,0.160655635
2005ft,0.181,39.64718418,0.116442236
2005fi,0.265,40.78410923,0.128294661
2005fu,0.193,40.03339165,0.121960816
2005fs,0.34,41.31673578,0.171677688
2005fv,0.118,38.75317265,0.114590986
2005fw,0.143,39.13758556,0.114524012
2005fa,0.162,39.30370242,0.119565351
2005fx,0.29,40.85966319,0.150676953
2005fz,0.124,38.80755675,0.122100458
2005go,0.265,40.55928938,0.140962476
2005gp,0.127,38.71654391,0.120227176
2005ga,0.174,39.51560683,0.114282534
2005gc,0.165,39.42050558,0.113957221
2005gs,0.251,40.78742155,0.133182502
2005gh,0.259,40.67004067,0.136851566
2005hn,0.108,38.65962425,0.118564236
2005gd,0.161,39.37735091,0.115619679
2005ge,0.206,40.03157458,0.124355782
2005gr,0.245,40.21485614,0.125152096
2005gf,0.25,40.28519037,0.126539063
2005gg,0.23,40.2680211,0.12288692
2005gb,0.087,37.98193495,0.11336751
2005ho,0.063,37.15357982,0.116292466
2005gt,0.279,40.84898551,0.170515825
2005gw,0.277,40.7532141,0.143749209
4064,0.156,39.32859682,0.116301203
2005gu,0.332,41.24099209,0.157824605
2005gv,0.363,41.39680531,0.167338045
2005gy,0.332,41.05633468,0.153791748
2005gx,0.146,39.31506561,0.113634578
2005gq,0.39,41.61787711,0.202376651
2005hp,0.175,39.5466953,0.129902758
2005hs,0.301,40.85769769,0.152785578
2005hr,0.117,38.77236772,0.113090218
2005hu,0.22,40.20779512,0.117918088
2005hx,0.121,38.7645868,0.111553736
2005hy,0.156,39.35262216,0.11283388
2005hw,0.41,41.85843597,0.208370772
2005hv,0.179,40.09885479,0.125612605
2005ia,0.252,40.75550234,0.121669684
2005jz,0.253,40.55306731,0.119228104
5737,0.393,41.51472275,0.171808247
2005hz,0.13,38.86469259,0.110314773
2005hq,0.401,41.75031758,0.207499053
2005ic,0.311,41.03416286,0.135622441
2005is,0.172,39.48551063,0.117223092
2005ie,0.28,40.78323811,0.130954483
2005it,0.31,40.9195402,0.177971614
2005ht,0.187,39.83662804,0.121451124
2005if,0.067,37.37591562,0.118306256
2005ka,0.318,41.40060121,0.192756487
2005ih,0.259,40.6017588,0.132143781
2005iv,0.3,41.04598672,0.155174252
2005jy,0.272,40.6829741,0.146266613
2005ig,0.281,40.5154942,0.139677729
2005ii,0.294,40.92718857,0.142023223
2005jk,0.19,39.77799492,0.120475217
2005ix,0.267,40.51753956,0.125621852
2005ij,0.125,38.71026468,0.111936547
2005id,0.184,39.8151415,0.114893026
2005jd,0.314,41.0285113,0.140263607
2005ik,0.311,41.21091639,0.154509467
2005iu,0.09,37.83978561,0.118243252
2005iy,0.404,41.92240212,0.212015766
2005iz,0.202,39.8812126,0.133809098
2005ja,0.328,40.98499634,0.144862922
2005jc,0.213,39.9909774,0.116097847
2005jl,0.181,39.74911702,0.117868646
2005je,0.094,38.29665446,0.115343191
2005jg,0.304,41.04293009,0.135822683
2005jh,0.11,38.66604398,0.120481708
2005ed,0.087,38.0070617,0.118814561
2005jm,0.204,39.99441257,0.129617981
2005kn,0.198,39.93341593,0.135794731
2005ei,0.128,38.92038102,0.124812931
2005ji,0.216,40.21686453,0.117827563
2005jn,0.322,41.12056966,0.135100375
2005jo,0.219,40.22949095,0.125340043
2005eg,0.191,39.94960204,0.120534773
2005ex,0.094,38.15417335,0.11985862
2005jw,0.381,41.44553914,0.148158101
2005jp,0.212,39.98697913,0.121635351
2005jj,0.368,41.88485421,0.199892747
2005jv,0.422,42.1513901,0.20390092
2005ju,0.259,40.65234302,0.138109078
2005ko,0.185,39.71336259,0.124767999
2005mi,0.214,40.09837126,0.132159094
2005jt,0.361,41.1643838,0.176630103
2005mh,0.395,41.79710371,0.152039613
2005kp,0.116,38.70006985,0.114183512
2005ld,0.145,39.18928936,0.117222451
2005le,0.254,40.52646399,0.145717294
2005kq,0.389,41.91504,0.188189991
2005lg,0.35,41.30910714,0.178077262
2005li,0.257,40.49753219,0.152073477
2005lh,0.218,40.3797,0.154102536
1996e,0.43,41.32502278,0.363448409
1996h,0.62,43.24145397,0.395579279
1996i,0.57,42.5033997,0.395227786
1996j,0.3,40.97847303,0.320340946
1996k,0.38,42.0839004,0.333518202
1996u,0.43,42.4243369,0.466023797
1995ao,0.24,40.74109325,0.408470068
1997ce,0.44,42.06827882,0.325281854
1997cj,0.5,42.37722353,0.322646999
1997ck,0.97,42.80967093,0.818432977
1995k,0.479,42.37250717,0.363960882
1997ap,0.83,43.55287939,0.476221516
1997am,0.416,42.45076747,0.566269702
1997aj,0.581,42.06582494,0.511751148
1997ai,0.45,41.84733406,0.459526046
1997af,0.579,43.20999339,0.653193753
1997ac,0.32,41.25832453,0.426633125
1997r,0.657,42.98499567,0.668671822
1997q,0.43,41.77825818,0.619060683
1997p,0.472,41.97533356,0.522213466
1997o,0.374,43.20380307,0.943967734
1997n,0.18,40.21615679,0.452691548
1997l,0.55,44.37758255,1.023200572
1997k,0.592,44.16589587,0.727363487
1997i,0.172,39.30608877,0.436282216
1997h,0.526,41.96061359,0.52101082
1997g,0.763,44.50584575,0.909043307
1997f,0.58,43.31655402,0.526483897
1996cn,0.43,41.80212701,0.46524375
1996cm,0.45,42.27984194,0.59875747
1996ck,0.656,43.1637578,0.635534545
1996ci,0.495,42.13491596,0.449365583
1996cg,0.49,41.78900625,0.452457762
1996cf,0.57,42.68543221,0.476394764
1995ba,0.388,42.23049674,0.471680428
1995az,0.45,42.42528883,0.515876003
1995ay,0.48,42.17429256,0.529360127
1995ax,0.615,42.55438298,0.564010349
1995aw,0.4,42.3331571,0.483871492
1995at,0.655,42.32129104,0.503703329
1995as,0.498,42.99637235,0.652414723
